Institution,Medium,Access,Month,Day,Year,Narrator,Creator,Location_Tags,Topic_Tags,Description,Link
Center of Southwest Studies,"Audio, Transcript",Online,June,29,1982,Alva F. Lyons,Robert W. Delaney,,Railroad,"Trainmen--Colorado--San Juan Basin--Biography 
Narrow gauge railroads--Colorado 
San Juan Basin (Colo.)--History
; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 31 ; Notes:Transcribed by Catherine Conrad on March 26, 1996; edited by Todd Ellison on April 4, 1996. Release signed by Dr. Delaney and Center 1/1998. Release signed 10/24/2005 by Alva Lyons' daughter Martha McDaniel.; Found in Box #31, updated tape #. TA 11/11/2020; MP3 is available online and and transcript viewable online",https://swcenter.fortlewis.edu/finding_aids/mp3/FLCu004464.sideA.mp3; https://swcenter.fortlewis.edu/finding_aids/mp3/FLCu004464.sideB.mp3; https://swcenter.fortlewis.edu/finding_aids/inventory/LyonsAlva19820629.trn.pdf
Center of Southwest Studies,"Audio, Transcript",Contact Institution,July,1,1982,Alva F. Lyons,Robert W. Delaney,,Railroad,"Trainmen--Colorado--San Juan Basin--Biography 
Narrow gauge railroads--Colorado 
San Juan Basin (Colo.)--History; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 31 ; Notes:Transcribed by Catherine Conrad on March 26, 1996; edited by Todd Ellison on April 4, 1996. Release signed by Dr. Delaney and Center 1/1998. Release signed 10/24/2005 by Alva Lyons' daughter Martha McDaniel.; Found in Box #31, updated tape #. TA 11/11/2020",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,July,7,1982,Alva F. Lyons,Robert W. Delaney,,Railroad,"Trainmen--Colorado--San Juan Basin--Biography 
Narrow gauge railroads--Colorado 
San Juan Basin (Colo.)--History; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 31 ; Notes:Transcribed by Catherine Conrad on April 2, 1996; edited by Todd Ellison on April 4, 1996. Release signed by Dr. Delaney and Center of Southwest Studies 1/1998. Release signed 10/24/2005 by Alva Lyons' daughter Martha McDaniel.; Found in Box #31, updated tape #. TA 11/11/2020",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,July,12,1982,Alva F. Lyons,Robert W. Delaney,,Railroad,"Trainmen--Colorado--San Juan Basin--Biography 
Masonic lodges--Histories 
San Juan Basin (Colo.)--History
; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 31 ; Notes:Topics: rest of Masonic origins (?), his enjoyment of being a trainman, and advice for the Durango and Silverton railroad. Stopped at 204 on counter. Part of the Alva Lyons collection re: the Denver and Rio Grande Railroad. Transcribed by Catherine Conrad on April 3, 1996; edited by Todd Ellison on April 3, 1996. Release signed by Dr. Delaney and Center of Southwest Studies 1/1998. Release signed 10/24/2005 by Alva Lyons' daughter Martha McDaniel..; Found in Box #31, updated tape #. TA 11/11/2020",
Center of Southwest Studies,Audio,Online,August,14,1966,Alva F. Lyons,Bill Fletcher,"Durango, La Plata County",Railroad,"Railroads--Colorado--San Juan Basin
Narrow gauge railroads--Colorado 
San Juan Basin (Colo.)--History; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 30 ; Notes:Copied (May, 1996) from one 5"" 1.5 mil acetate reel tape onto one 90-minute audiocassette. Reel side A: voice of Bill Fletcher, President, Railroad Club, on Durango and Rio Grande Western narrow gauge railroad, Durango to Hermosa, August 14, 1966. Reel side B: Leadville to Climax climb; 0 to 74, by Elolte Larsen; Engine #641, 2-8-0 10 car drag, standard gauge...; Engine #478, 95 to 150; Engines #476 and 483, 150 to 210; thunderstorm, 223 to 320; 321 to end, organ music (see reel box for more details), April 17 (1967?). Release signed 10/24/2005 by Alva Lyons' daughter Martha McDaniel.; Found in Box #31, updated tape #. TA 11/11/2020; MP3 is available online",https://swcenter.fortlewis.edu/finding_aids/mp3/FLCu004459.sideA.mp3; https://swcenter.fortlewis.edu/finding_aids/mp3/FLCu004459.sideB.mp3
Center of Southwest Studies,Audio,"Restricted (no release), Contact Institution",May,9,1981,Alvin Chesser Warner,DeVere Walker,,,"Farmington (N.M.) History; About Narrator: No info provided.; Collection:U017: Farmington Oral History Project - BOX 29 ; Notes:No folders or documents, tapes only; No releases found;Fort Lewis College Southwest Studies student of Richard Ellis's gave the Center of Southwest Studies the tapes of this series.; Found in Box #29, updated tape #. TA 11/11/2020",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,April,7,2000,Amador Tucson,Anthony M. Begay,"Durango, La Plata County","Hispanic, Local Business, Racial Relations","Hispanic Americans--Colorado--Durango--Biography 
Barbers--Colorado--Durango
Durango (Colo.)--Race relations
; About Narrator: Durango Barber; Collection:U004: Southwest Oral History - BOX 36 ; Notes:By a student of Southwest Studies 341, oral history. Interviewing a barber at his work place. Transcribed by the interviewer ending on 4/25/00 at which time the transcript was edited and formatted by Todd Ellison, and Anthony Begay brought a copy of the transcript to Mr. Tucson. The Center also gave (via Begay) Tucson a copy of the audiotape of this interview.; Found in Box #37. TA 11/13/2020",
Center of Southwest Studies,Audio,Contact Institution,,,,Amber Johnson,Leah Mumford,,,"Oral history interview with Amber Johnson; About Narrator: No info provided.; Collection:M 063: Richard Ellis Papers - BOX 48 ; Notes:Interview conducted by a student in SW 330: Cowboys, Cattlemen and Popular Culture class.; 2005:11002.017 / Accn written on tape 2005:11002.053",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,April,27,1992,Amelia Denison,Devin Sanders,"Durango, La Plata County",Mining,Mining--Colorado Miners--Colorado Durango (Colo.)--History; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 5 ; Notes:By a Fort Lewis College Southwest Studies history student of R. Ellis's.;,
Center of Southwest Studies,"Audio, Transcript",Contact Institution,March,21,1992,Ames Bader,Ray Gilley,"Durango, Hesperus, La Plata County",,"Cities and towns--Colorado--Durango--History Cities and towns--Colorado--Hesperus--History Durango (Colo.)--History; About Narrator: A retired teacher.; Collection:U004: Southwest Oral History - BOX 1 ; Notes:See also other data file, Baderame.dif.;",
